detector_name,detector_name,overlapping_trufflehog_secrets,recall,secret_count
snowpark_api_credentials,151,9,0.059602649006622516,151
snyk_key,40,28,0.7,40
sonarqube_token,461,460,0.9978308026030369,461
sonarqube_token_prefixed,316,0,0.0,316
sonarqube_token_prefixed_with_host,413,0,0.0,413
sourcegraph_access_token_v3,6,6,1.0,6
sparkpost,7,0,0.0,7
splunk_token,395,5,0.012658227848101266,395
spotify_keys,1563,2,0.0012795905310300703,1563
square_token,2,0,0.0,2
square_token_v2,5,5,1.0,5
ssh_password,144,8,0.05555555555555555,144
ssh_password_assignment,4,0,0.0,4
stream_keys,86,0,0.0,86
stripe,428,425,0.9929906542056075,428
stripe_webhook_secret,862,0,0.0,862
supabase_jwt_secret,4,0,0.0,4
supabase_service_role_jwt,789,0,0.0,789
surge_token,1,0,0.0,1
tableau_pat,4,0,0.0,4
tailscale_pre_auth_key,6,0,0.0,6
tavily_api_key,224,0,0.0,224
telegrambot,22010,4090,0.1858246251703771,22010
tencent_cloud_keys,72,0,0.0,72
terraform_cloud_personal_token,9,9,1.0,9
trello_api_keys,10,0,0.0,10
twilio_api_keys,14,0,0.0,14
twilio_basic_auth,289,289,1.0,289
twitch_api_keys,20,20,1.0,20
twitch_app_credentials,12,12,1.0,12
twitter_tokens,263,191,0.7262357414448669,263
typeform_api_token,9,8,0.8888888888888888,9
ubidots_token,1,1,1.0,1
username_and_password_in_ftp,94,78,0.8297872340425532,94
username_password,45765,1064,0.02324920790997487,45765
vercel_api_access_token,48,40,0.8333333333333334,48
vercel_blob_token,58,0,0.0,58
wakatime_apikey,16,0,0.0,16
webflow_api_token,1,1,1.0,1
wechat_keys,1761,0,0.0,1761
x_api_key,1161,3,0.002583979328165375,1161
yahoo_oauth2,46,0,0.0,46
yandex_predictor_api_key,2,2,1.0,2
yelp_api_key,188,32,0.1702127659574468,188
zapier_webhook_url,220,0,0.0,220
zendesk_token,1,0,0.0,1
zendesk_token_full_domain,42,0,0.0,42
zillow,3,0,0.0,3
zoho_oauth2,61,0,0.0,61
zoom_api_jwt_keys,4,0,0.0,4
zoom_api_keys,56,0,0.0,56
zuplo_apikey,6,0,0.0,6
